"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4012","ParallelTest3","","Thu Aug 28 12:53:36 UTC 2025","passed","Thu Aug 28 12:53:40 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Verify downloaded PDF from file-examples.com contains expected text
","49991","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:53:25 UTC 2025","broken","Thu Aug 28 12:54:15 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","6493","InvalidLoginShouldDisplayError","","Thu Aug 28 12:53:25 UTC 2025","failed","Thu Aug 28 12:53:31 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","4385","ParallelTest1","","Thu Aug 28 12:53:31 UTC 2025","passed","Thu Aug 28 12:53:36 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","6770","ParallelTest","","Thu Aug 28 12:53:25 UTC 2025","passed","Thu Aug 28 12:53:32 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4128","ValidLoginShouldSucceed","","Thu Aug 28 12:53:36 UTC 2025","passed","Thu Aug 28 12:53:41 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","4844","ParallelTest2","","Thu Aug 28 12:53:32 UTC 2025","passed","Thu Aug 28 12:53:36 UTC 2025","","Smoke","LoginTest","ParallelTest2"
