"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify downloaded PDF from file-examples.com contains expected text
","48757","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 13:51:58 UTC 2025","broken","Thu Aug 28 13:52:47 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","4979","ParallelTest1","","Thu Aug 28 13:52:09 UTC 2025","passed","Thu Aug 28 13:52:14 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","5281","ValidLoginShouldSucceed","","Thu Aug 28 13:52:14 UTC 2025","passed","Thu Aug 28 13:52:20 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","10705","ParallelTest","","Thu Aug 28 13:51:58 UTC 2025","passed","Thu Aug 28 13:52:09 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","10531","InvalidLoginShouldDisplayError","","Thu Aug 28 13:51:58 UTC 2025","failed","Thu Aug 28 13:52:09 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","4742","ParallelTest3","","Thu Aug 28 13:52:14 UTC 2025","passed","Thu Aug 28 13:52:19 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","5193","ParallelTest2","","Thu Aug 28 13:52:09 UTC 2025","passed","Thu Aug 28 13:52:14 UTC 2025","","Smoke","LoginTest","ParallelTest2"
