"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4543","InvalidLoginShouldDisplayError","","Wed Aug 27 18:13:12 UTC 2025","failed","Wed Aug 27 18:13:16 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","3017","ParallelTest2","","Wed Aug 27 18:13:23 UTC 2025","passed","Wed Aug 27 18:13:26 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2774","ParallelTest3","","Wed Aug 27 18:13:26 UTC 2025","passed","Wed Aug 27 18:13:29 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","3294","ParallelTest1","","Wed Aug 27 18:13:20 UTC 2025","passed","Wed Aug 27 18:13:23 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3296","ValidLoginShouldSucceed","","Wed Aug 27 18:13:29 UTC 2025","passed","Wed Aug 27 18:13:32 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3285","ParallelTest","","Wed Aug 27 18:13:16 UTC 2025","passed","Wed Aug 27 18:13:20 UTC 2025","","Smoke","LoginTest","ParallelTest"
