"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2919","ParallelTest2","","Wed Aug 27 11:48:09 UTC 2025","passed","Wed Aug 27 11:48:11 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2957","ValidLoginShouldSucceed","","Wed Aug 27 11:48:14 UTC 2025","passed","Wed Aug 27 11:48:17 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3540","InvalidLoginShouldDisplayError","","Wed Aug 27 11:47:57 UTC 2025","failed","Wed Aug 27 11:48:01 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2667","ParallelTest1","","Wed Aug 27 11:48:06 UTC 2025","passed","Wed Aug 27 11:48:09 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2379","ParallelTest3","","Wed Aug 27 11:48:11 UTC 2025","passed","Wed Aug 27 11:48:14 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","5116","ParallelTest","","Wed Aug 27 11:48:01 UTC 2025","passed","Wed Aug 27 11:48:06 UTC 2025","","Smoke","LoginTest","ParallelTest"
