"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6984","ParallelTest","","Thu Aug 28 11:59:13 UTC 2025","passed","Thu Aug 28 11:59:20 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","6025","ParallelTest2","","Thu Aug 28 11:59:20 UTC 2025","passed","Thu Aug 28 11:59:26 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","6341","ValidLoginShouldSucceed","","Thu Aug 28 11:59:21 UTC 2025","passed","Thu Aug 28 11:59:27 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","7370","ParallelTest1","","Thu Aug 28 11:59:13 UTC 2025","passed","Thu Aug 28 11:59:20 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","7795","InvalidLoginShouldDisplayError","","Thu Aug 28 11:59:13 UTC 2025","failed","Thu Aug 28 11:59:21 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify downloaded PDF from file-examples.com contains expected text
","48083","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 11:59:26 UTC 2025","broken","Thu Aug 28 12:00:14 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","6513","ParallelTest3","","Thu Aug 28 11:59:20 UTC 2025","passed","Thu Aug 28 11:59:27 UTC 2025","","Smoke","LoginTest","ParallelTest3"
