"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7873","InvalidLoginShouldDisplayError","","Thu Aug 28 11:42:22 UTC 2025","failed","Thu Aug 28 11:42:30 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","6185","ValidLoginShouldSucceed","","Thu Aug 28 11:42:30 UTC 2025","passed","Thu Aug 28 11:42:36 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","7044","ParallelTest","","Thu Aug 28 11:42:22 UTC 2025","passed","Thu Aug 28 11:42:29 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","6004","ParallelTest3","","Thu Aug 28 11:42:29 UTC 2025","passed","Thu Aug 28 11:42:35 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","6462","ParallelTest2","","Thu Aug 28 11:42:28 UTC 2025","passed","Thu Aug 28 11:42:35 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","6601","ParallelTest1","","Thu Aug 28 11:42:22 UTC 2025","passed","Thu Aug 28 11:42:28 UTC 2025","","Smoke","LoginTest","ParallelTest1"
