"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2825","ValidLoginShouldSucceed","","Tue Aug 26 19:48:24 UTC 2025","passed","Tue Aug 26 19:48:27 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3880","InvalidLoginShouldDisplayError","","Tue Aug 26 19:48:11 UTC 2025","failed","Tue Aug 26 19:48:15 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2399","ParallelTest3","","Tue Aug 26 19:48:22 UTC 2025","passed","Tue Aug 26 19:48:24 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2663","ParallelTest","","Tue Aug 26 19:48:15 UTC 2025","passed","Tue Aug 26 19:48:17 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","2340","ParallelTest1","","Tue Aug 26 19:48:17 UTC 2025","passed","Tue Aug 26 19:48:20 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2308","ParallelTest2","","Tue Aug 26 19:48:20 UTC 2025","passed","Tue Aug 26 19:48:22 UTC 2025","","Smoke","LoginTest","ParallelTest2"
