"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6535","ParallelTest3","","Thu Aug 28 12:11:23 UTC 2025","passed","Thu Aug 28 12:11:30 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","7777","ParallelTest","","Thu Aug 28 12:11:15 UTC 2025","passed","Thu Aug 28 12:11:23 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","7186","ParallelTest2","","Thu Aug 28 12:11:23 UTC 2025","passed","Thu Aug 28 12:11:30 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","5680","ValidLoginShouldSucceed","","Thu Aug 28 12:11:24 UTC 2025","passed","Thu Aug 28 12:11:29 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"Verify downloaded PDF from file-examples.com contains expected text
","47670","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:11:29 UTC 2025","broken","Thu Aug 28 12:12:17 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","8431","InvalidLoginShouldDisplayError","","Thu Aug 28 12:11:15 UTC 2025","failed","Thu Aug 28 12:11:24 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","7546","ParallelTest1","","Thu Aug 28 12:11:15 UTC 2025","passed","Thu Aug 28 12:11:23 UTC 2025","","Smoke","LoginTest","ParallelTest1"
