"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2263","ParallelTest3","","Tue Aug 26 15:55:23 UTC 2025","passed","Tue Aug 26 15:55:26 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","4121","InvalidLoginShouldDisplayError","","Tue Aug 26 15:55:11 UTC 2025","failed","Tue Aug 26 15:55:15 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2516","ParallelTest1","","Tue Aug 26 15:55:18 UTC 2025","passed","Tue Aug 26 15:55:21 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2718","ValidLoginShouldSucceed","","Tue Aug 26 15:55:26 UTC 2025","passed","Tue Aug 26 15:55:28 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2666","ParallelTest2","","Tue Aug 26 15:55:21 UTC 2025","passed","Tue Aug 26 15:55:23 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2984","ParallelTest","","Tue Aug 26 15:55:15 UTC 2025","passed","Tue Aug 26 15:55:18 UTC 2025","","Smoke","LoginTest","ParallelTest"
