"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4549","ParallelTest3","","Thu Aug 28 14:40:13 UTC 2025","passed","Thu Aug 28 14:40:17 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","15044","ParallelTest","","Thu Aug 28 14:39:54 UTC 2025","passed","Thu Aug 28 14:40:10 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4575","ValidLoginShouldSucceed","","Thu Aug 28 14:40:14 UTC 2025","passed","Thu Aug 28 14:40:19 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"Verify downloaded PDF from file-examples.com contains expected text
","48946","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 14:39:54 UTC 2025","broken","Thu Aug 28 14:40:43 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","4633","ParallelTest2","","Thu Aug 28 14:40:10 UTC 2025","passed","Thu Aug 28 14:40:14 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","6648","ParallelTest1","","Thu Aug 28 14:40:06 UTC 2025","passed","Thu Aug 28 14:40:13 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","11472","InvalidLoginShouldDisplayError","","Thu Aug 28 14:39:54 UTC 2025","failed","Thu Aug 28 14:40:06 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
