"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","593","ParallelTest","","Wed Aug 27 14:05:08 UTC 2025","broken","Wed Aug 27 14:05:08 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","72","ParallelTest3","","Wed Aug 27 14:05:08 UTC 2025","broken","Wed Aug 27 14:05:08 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","575","ParallelTest1","","Wed Aug 27 14:05:08 UTC 2025","broken","Wed Aug 27 14:05:08 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","45","ValidLoginShouldSucceed","","Wed Aug 27 14:05:08 UTC 2025","broken","Wed Aug 27 14:05:08 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","59","ParallelTest2","","Wed Aug 27 14:05:08 UTC 2025","broken","Wed Aug 27 14:05:08 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","7499","InvalidLoginShouldDisplayError","","Wed Aug 27 14:05:08 UTC 2025","failed","Wed Aug 27 14:05:15 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
