"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","InvalidLoginShouldDisplayError","","Wed Aug 27 19:47:50 UTC 2025","broken","Wed Aug 27 19:47:51 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","61","ParallelTest2","","Wed Aug 27 19:47:51 UTC 2025","broken","Wed Aug 27 19:47:51 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","557","ParallelTest1","","Wed Aug 27 19:47:50 UTC 2025","broken","Wed Aug 27 19:47:51 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","3995","ParallelTest","","Wed Aug 27 19:47:50 UTC 2025","passed","Wed Aug 27 19:47:54 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","64","ParallelTest3","","Wed Aug 27 19:47:51 UTC 2025","broken","Wed Aug 27 19:47:51 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","73","ValidLoginShouldSucceed","","Wed Aug 27 19:47:51 UTC 2025","broken","Wed Aug 27 19:47:51 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
