"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2793","ParallelTest1","","Tue Aug 26 19:35:48 UTC 2025","passed","Tue Aug 26 19:35:51 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2754","ParallelTest2","","Tue Aug 26 19:35:51 UTC 2025","passed","Tue Aug 26 19:35:54 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3291","ValidLoginShouldSucceed","","Tue Aug 26 19:35:56 UTC 2025","passed","Tue Aug 26 19:36:00 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2653","ParallelTest3","","Tue Aug 26 19:35:54 UTC 2025","passed","Tue Aug 26 19:35:56 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","4620","InvalidLoginShouldDisplayError","","Tue Aug 26 19:35:41 UTC 2025","failed","Tue Aug 26 19:35:45 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2984","ParallelTest","","Tue Aug 26 19:35:45 UTC 2025","passed","Tue Aug 26 19:35:48 UTC 2025","","Smoke","LoginTest","ParallelTest"
