"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2620","ParallelTest1","","Wed Aug 27 19:29:38 UTC 2025","passed","Wed Aug 27 19:29:41 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2829","ParallelTest2","","Wed Aug 27 19:29:41 UTC 2025","passed","Wed Aug 27 19:29:44 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2931","ParallelTest","","Wed Aug 27 19:29:35 UTC 2025","passed","Wed Aug 27 19:29:38 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2407","ValidLoginShouldSucceed","","Wed Aug 27 19:29:46 UTC 2025","passed","Wed Aug 27 19:29:49 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2544","ParallelTest3","","Wed Aug 27 19:29:44 UTC 2025","passed","Wed Aug 27 19:29:46 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","3519","InvalidLoginShouldDisplayError","","Wed Aug 27 19:29:32 UTC 2025","failed","Wed Aug 27 19:29:35 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
