"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6337","ParallelTest","","Thu Aug 28 12:56:41 UTC 2025","passed","Thu Aug 28 12:56:47 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","4323","ParallelTest3","","Thu Aug 28 12:56:52 UTC 2025","passed","Thu Aug 28 12:56:56 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","4777","ParallelTest1","","Thu Aug 28 12:56:47 UTC 2025","passed","Thu Aug 28 12:56:52 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Verify downloaded PDF from file-examples.com contains expected text
","49328","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:56:41 UTC 2025","broken","Thu Aug 28 12:57:30 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","4761","ParallelTest2","","Thu Aug 28 12:56:48 UTC 2025","passed","Thu Aug 28 12:56:53 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","6970","InvalidLoginShouldDisplayError","","Thu Aug 28 12:56:41 UTC 2025","failed","Thu Aug 28 12:56:48 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4306","ValidLoginShouldSucceed","","Thu Aug 28 12:56:53 UTC 2025","passed","Thu Aug 28 12:56:57 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
