"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5163","ParallelTest1","","Thu Aug 28 12:04:25 UTC 2025","passed","Thu Aug 28 12:04:30 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","4397","ParallelTest3","","Thu Aug 28 12:04:30 UTC 2025","passed","Thu Aug 28 12:04:34 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","7094","ParallelTest","","Thu Aug 28 12:04:18 UTC 2025","passed","Thu Aug 28 12:04:25 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4575","ValidLoginShouldSucceed","","Thu Aug 28 12:04:30 UTC 2025","passed","Thu Aug 28 12:04:35 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","7111","InvalidLoginShouldDisplayError","","Thu Aug 28 12:04:18 UTC 2025","failed","Thu Aug 28 12:04:25 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify downloaded PDF from file-examples.com contains expected text
","49522","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:04:18 UTC 2025","broken","Thu Aug 28 12:05:08 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","4845","ParallelTest2","","Thu Aug 28 12:04:25 UTC 2025","passed","Thu Aug 28 12:04:30 UTC 2025","","Smoke","LoginTest","ParallelTest2"
