"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2342","ParallelTest2","","Tue Aug 26 20:20:21 UTC 2025","passed","Tue Aug 26 20:20:23 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","4146","InvalidLoginShouldDisplayError","","Tue Aug 26 20:20:11 UTC 2025","failed","Tue Aug 26 20:20:16 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3544","ValidLoginShouldSucceed","","Tue Aug 26 20:20:25 UTC 2025","passed","Tue Aug 26 20:20:29 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2421","ParallelTest1","","Tue Aug 26 20:20:18 UTC 2025","passed","Tue Aug 26 20:20:21 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2840","ParallelTest","","Tue Aug 26 20:20:16 UTC 2025","passed","Tue Aug 26 20:20:18 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","2188","ParallelTest3","","Tue Aug 26 20:20:23 UTC 2025","passed","Tue Aug 26 20:20:25 UTC 2025","","Smoke","LoginTest","ParallelTest3"
