"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5002","ParallelTest1","","Thu Aug 28 14:03:07 UTC 2025","passed","Thu Aug 28 14:03:12 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","4313","ParallelTest3","","Thu Aug 28 14:03:12 UTC 2025","passed","Thu Aug 28 14:03:16 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","5554","ParallelTest2","","Thu Aug 28 14:03:07 UTC 2025","passed","Thu Aug 28 14:03:13 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4996","ValidLoginShouldSucceed","","Thu Aug 28 14:03:13 UTC 2025","passed","Thu Aug 28 14:03:18 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"Verify downloaded PDF from file-examples.com contains expected text
","49262","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 14:02:57 UTC 2025","broken","Thu Aug 28 14:03:46 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","9561","ParallelTest","","Thu Aug 28 14:02:57 UTC 2025","passed","Thu Aug 28 14:03:07 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","10184","InvalidLoginShouldDisplayError","","Thu Aug 28 14:02:57 UTC 2025","failed","Thu Aug 28 14:03:07 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
