"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5933","ParallelTest2","","Wed Aug 27 20:21:32 UTC 2025","passed","Wed Aug 27 20:21:38 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","6020","ValidLoginShouldSucceed","","Wed Aug 27 20:21:33 UTC 2025","passed","Wed Aug 27 20:21:39 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","8049","InvalidLoginShouldDisplayError","","Wed Aug 27 20:21:25 UTC 2025","failed","Wed Aug 27 20:21:33 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","7672","ParallelTest1","","Wed Aug 27 20:21:25 UTC 2025","passed","Wed Aug 27 20:21:33 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","6603","ParallelTest","","Wed Aug 27 20:21:25 UTC 2025","passed","Wed Aug 27 20:21:32 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","5698","ParallelTest3","","Wed Aug 27 20:21:33 UTC 2025","passed","Wed Aug 27 20:21:38 UTC 2025","","Smoke","LoginTest","ParallelTest3"
