"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7613","ParallelTest1","","Thu Aug 28 13:49:03 UTC 2025","passed","Thu Aug 28 13:49:11 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","6226","ParallelTest3","","Thu Aug 28 13:49:11 UTC 2025","passed","Thu Aug 28 13:49:17 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","6787","ParallelTest2","","Thu Aug 28 13:49:11 UTC 2025","passed","Thu Aug 28 13:49:18 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","7579","InvalidLoginShouldDisplayError","","Thu Aug 28 13:49:03 UTC 2025","failed","Thu Aug 28 13:49:11 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","7031","ValidLoginShouldSucceed","","Thu Aug 28 13:49:12 UTC 2025","passed","Thu Aug 28 13:49:19 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"Verify downloaded PDF from file-examples.com contains expected text
","48127","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 13:49:17 UTC 2025","broken","Thu Aug 28 13:50:05 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","8281","ParallelTest","","Thu Aug 28 13:49:03 UTC 2025","passed","Thu Aug 28 13:49:12 UTC 2025","","Smoke","LoginTest","ParallelTest"
