"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2511","ParallelTest2","","Wed Aug 27 19:08:29 UTC 2025","passed","Wed Aug 27 19:08:32 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2755","ValidLoginShouldSucceed","","Wed Aug 27 19:08:34 UTC 2025","passed","Wed Aug 27 19:08:37 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2357","ParallelTest1","","Wed Aug 27 19:08:27 UTC 2025","passed","Wed Aug 27 19:08:29 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2274","ParallelTest3","","Wed Aug 27 19:08:32 UTC 2025","passed","Wed Aug 27 19:08:34 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2628","ParallelTest","","Wed Aug 27 19:08:24 UTC 2025","passed","Wed Aug 27 19:08:27 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","3824","InvalidLoginShouldDisplayError","","Wed Aug 27 19:08:20 UTC 2025","failed","Wed Aug 27 19:08:24 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
