"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user list contains expected record from ReqRes API
","1250","FetchUserListShouldReturnData","","Mon Aug 25 18:49:55 UTC 2025","passed","Mon Aug 25 18:49:56 UTC 2025","","","CreateUserApiTest","FetchUserListShouldReturnData"
"","2428","ParallelTest","","Mon Aug 25 18:50:06 UTC 2025","passed","Mon Aug 25 18:50:08 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Verify user creation using ReqRes API
","2297","CreateUserViaApiShouldReturnSuccess","","Mon Aug 25 18:49:52 UTC 2025","passed","Mon Aug 25 18:49:55 UTC 2025","","Sanity","CreateUserApiTest","CreateUserViaApiShouldReturnSuccess"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2828","ValidLoginShouldSucceed","","Mon Aug 25 18:50:15 UTC 2025","passed","Mon Aug 25 18:50:18 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2125","ParallelTest3","","Mon Aug 25 18:50:13 UTC 2025","passed","Mon Aug 25 18:50:15 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2226","ParallelTest1","","Mon Aug 25 18:50:08 UTC 2025","passed","Mon Aug 25 18:50:10 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","6649","InvalidLoginShouldDisplayError","","Mon Aug 25 18:49:59 UTC 2025","failed","Mon Aug 25 18:50:06 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2207","ParallelTest2","","Mon Aug 25 18:50:10 UTC 2025","passed","Mon Aug 25 18:50:13 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Verify downloaded PDF from file-examples.com contains expected text
","3114","VerifyDownloadedPdfFromFileExamples","","Mon Aug 25 18:49:56 UTC 2025","passed","Mon Aug 25 18:49:59 UTC 2025","","Sanity","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
