"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2608","ParallelTest1","","Tue Aug 26 20:07:15 UTC 2025","passed","Tue Aug 26 20:07:17 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2719","ValidLoginShouldSucceed","","Tue Aug 26 20:07:22 UTC 2025","passed","Tue Aug 26 20:07:25 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2404","ParallelTest3","","Tue Aug 26 20:07:20 UTC 2025","passed","Tue Aug 26 20:07:22 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2720","ParallelTest","","Tue Aug 26 20:07:12 UTC 2025","passed","Tue Aug 26 20:07:15 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","3629","InvalidLoginShouldDisplayError","","Tue Aug 26 20:07:08 UTC 2025","failed","Tue Aug 26 20:07:12 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2437","ParallelTest2","","Tue Aug 26 20:07:17 UTC 2025","passed","Tue Aug 26 20:07:20 UTC 2025","","Smoke","LoginTest","ParallelTest2"
