"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","ParallelTest2","","Tue Aug 26 19:50:09 UTC 2025","passed","Tue Aug 26 19:50:11 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2337","ParallelTest3","","Tue Aug 26 19:50:11 UTC 2025","passed","Tue Aug 26 19:50:14 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2854","ValidLoginShouldSucceed","","Tue Aug 26 19:50:14 UTC 2025","passed","Tue Aug 26 19:50:17 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2564","ParallelTest1","","Tue Aug 26 19:50:07 UTC 2025","passed","Tue Aug 26 19:50:09 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","6108","ParallelTest","","Tue Aug 26 19:50:00 UTC 2025","passed","Tue Aug 26 19:50:07 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","4304","InvalidLoginShouldDisplayError","","Tue Aug 26 19:49:56 UTC 2025","failed","Tue Aug 26 19:50:00 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
