"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify downloaded PDF from file-examples.com contains expected text
","48822","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 15:43:54 UTC 2025","broken","Thu Aug 28 15:44:42 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","4634","ParallelTest3","","Thu Aug 28 15:44:10 UTC 2025","passed","Thu Aug 28 15:44:15 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4922","ValidLoginShouldSucceed","","Thu Aug 28 15:44:11 UTC 2025","passed","Thu Aug 28 15:44:16 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","7202","InvalidLoginShouldDisplayError","","Thu Aug 28 15:43:54 UTC 2025","failed","Thu Aug 28 15:44:01 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","7654","ParallelTest","","Thu Aug 28 15:43:54 UTC 2025","passed","Thu Aug 28 15:44:01 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","9642","ParallelTest1","","Thu Aug 28 15:44:01 UTC 2025","passed","Thu Aug 28 15:44:10 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","9476","ParallelTest2","","Thu Aug 28 15:44:01 UTC 2025","passed","Thu Aug 28 15:44:11 UTC 2025","","Smoke","LoginTest","ParallelTest2"
