"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2301","ParallelTest3","","Tue Aug 26 20:15:44 UTC 2025","passed","Tue Aug 26 20:15:46 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2374","ParallelTest2","","Tue Aug 26 20:15:41 UTC 2025","passed","Tue Aug 26 20:15:44 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2698","ValidLoginShouldSucceed","","Tue Aug 26 20:15:46 UTC 2025","passed","Tue Aug 26 20:15:49 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3048","ParallelTest","","Tue Aug 26 20:15:36 UTC 2025","passed","Tue Aug 26 20:15:39 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","3775","InvalidLoginShouldDisplayError","","Tue Aug 26 20:15:32 UTC 2025","failed","Tue Aug 26 20:15:36 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2435","ParallelTest1","","Tue Aug 26 20:15:39 UTC 2025","passed","Tue Aug 26 20:15:41 UTC 2025","","Smoke","LoginTest","ParallelTest1"
