"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3493","ValidLoginShouldSucceed","","Tue Aug 26 15:22:41 UTC 2025","passed","Tue Aug 26 15:22:44 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2775","ParallelTest3","","Tue Aug 26 15:22:38 UTC 2025","passed","Tue Aug 26 15:22:41 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2896","ParallelTest1","","Tue Aug 26 15:22:32 UTC 2025","passed","Tue Aug 26 15:22:35 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","4327","InvalidLoginShouldDisplayError","","Tue Aug 26 15:22:25 UTC 2025","failed","Tue Aug 26 15:22:29 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2863","ParallelTest2","","Tue Aug 26 15:22:35 UTC 2025","passed","Tue Aug 26 15:22:38 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","3344","ParallelTest","","Tue Aug 26 15:22:29 UTC 2025","passed","Tue Aug 26 15:22:32 UTC 2025","","Smoke","LoginTest","ParallelTest"
