"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2428","ParallelTest3","","Fri Aug 22 16:44:36 UTC 2025","passed","Fri Aug 22 16:44:38 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2863","ParallelTest2","","Fri Aug 22 16:44:33 UTC 2025","passed","Fri Aug 22 16:44:36 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Verify user list contains expected record from ReqRes API
","1178","FetchUserListShouldReturnData","","Fri Aug 22 16:43:36 UTC 2025","passed","Fri Aug 22 16:43:37 UTC 2025","","","CreateUserApiTest","FetchUserListShouldReturnData"
"","2453","ParallelTest1","","Fri Aug 22 16:44:30 UTC 2025","passed","Fri Aug 22 16:44:33 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3109","ValidLoginShouldSucceed","","Fri Aug 22 16:44:38 UTC 2025","passed","Fri Aug 22 16:44:41 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"Verify downloaded PDF from file-examples.com contains expected text
","47000","VerifyDownloadedPdfFromFileExamples","","Fri Aug 22 16:43:37 UTC 2025","broken","Fri Aug 22 16:44:24 UTC 2025","","Sanity","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"Verify user creation using ReqRes API
","2191","CreateUserViaApiShouldReturnSuccess","","Fri Aug 22 16:43:34 UTC 2025","passed","Fri Aug 22 16:43:36 UTC 2025","","Sanity","CreateUserApiTest","CreateUserViaApiShouldReturnSuccess"
"","2535","ParallelTest","","Fri Aug 22 16:44:28 UTC 2025","passed","Fri Aug 22 16:44:30 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","3577","InvalidLoginShouldDisplayError","","Fri Aug 22 16:44:24 UTC 2025","failed","Fri Aug 22 16:44:28 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
