"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3488","ParallelTest2","","2025-11-18","passed","2025-11-18","","Smoke","LoginTest","ParallelTest2"
"","4943","InvalidLoginShouldDisplayError","","2025-11-18","failed","2025-11-18","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","4651","ParallelTest","","2025-11-18","passed","2025-11-18","","Smoke","LoginTest","ParallelTest"
"Verify downloaded PDF from file-examples.com contains expected text
","4429","VerifyDownloadedPdfFromFileExamples","","2025-11-18","passed","2025-11-18","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","3770","ParallelTest1","","2025-11-18","passed","2025-11-18","","Smoke","LoginTest","ParallelTest1"
"","3449","ParallelTest3","","2025-11-18","passed","2025-11-18","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","5128","ValidLoginShouldSucceed","","2025-11-18","passed","2025-11-18","","Smoke","LoginTest","ValidLoginShouldSucceed"
