"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3932","ValidLoginShouldSucceed","","Wed Aug 27 19:22:35 UTC 2025","passed","Wed Aug 27 19:22:39 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","4032","InvalidLoginShouldDisplayError","","Wed Aug 27 19:22:21 UTC 2025","failed","Wed Aug 27 19:22:25 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2588","ParallelTest1","","Wed Aug 27 19:22:27 UTC 2025","passed","Wed Aug 27 19:22:30 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2661","ParallelTest","","Wed Aug 27 19:22:25 UTC 2025","passed","Wed Aug 27 19:22:27 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","2517","ParallelTest2","","Wed Aug 27 19:22:30 UTC 2025","passed","Wed Aug 27 19:22:33 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2397","ParallelTest3","","Wed Aug 27 19:22:33 UTC 2025","passed","Wed Aug 27 19:22:35 UTC 2025","","Smoke","LoginTest","ParallelTest3"
