"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user list contains expected record from ReqRes API
","1827","FetchUserListShouldReturnData","","Tue Aug 26 15:32:25 UTC 2025","passed","Tue Aug 26 15:32:26 UTC 2025","","","CreateUserApiTest","FetchUserListShouldReturnData"
"Verify user creation using ReqRes API
","2986","CreateUserViaApiShouldReturnSuccess","","Tue Aug 26 15:32:22 UTC 2025","passed","Tue Aug 26 15:32:25 UTC 2025","","Sanity","CreateUserApiTest","CreateUserViaApiShouldReturnSuccess"
