"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9787","ParallelTest","","Tue Aug 26 20:00:01 UTC 2025","passed","Tue Aug 26 20:00:10 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","2396","ParallelTest3","","Tue Aug 26 20:00:16 UTC 2025","passed","Tue Aug 26 20:00:18 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","2593","ParallelTest2","","Tue Aug 26 20:00:13 UTC 2025","passed","Tue Aug 26 20:00:16 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","3090","ParallelTest1","","Tue Aug 26 20:00:10 UTC 2025","passed","Tue Aug 26 20:00:13 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","7741","ValidLoginShouldSucceed","","Tue Aug 26 20:00:18 UTC 2025","passed","Tue Aug 26 20:00:26 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","4662","InvalidLoginShouldDisplayError","","Tue Aug 26 19:59:56 UTC 2025","failed","Tue Aug 26 20:00:01 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
