"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify downloaded PDF from file-examples.com contains expected text
","49073","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:34:20 UTC 2025","broken","Thu Aug 28 12:35:09 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","6760","ParallelTest","","Thu Aug 28 12:34:20 UTC 2025","passed","Thu Aug 28 12:34:27 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","5170","ParallelTest2","","Thu Aug 28 12:34:27 UTC 2025","passed","Thu Aug 28 12:34:32 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","5314","ValidLoginShouldSucceed","","Thu Aug 28 12:34:32 UTC 2025","passed","Thu Aug 28 12:34:38 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","7360","InvalidLoginShouldDisplayError","","Thu Aug 28 12:34:20 UTC 2025","failed","Thu Aug 28 12:34:27 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","4778","ParallelTest3","","Thu Aug 28 12:34:32 UTC 2025","passed","Thu Aug 28 12:34:37 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","5598","ParallelTest1","","Thu Aug 28 12:34:27 UTC 2025","passed","Thu Aug 28 12:34:32 UTC 2025","","Smoke","LoginTest","ParallelTest1"
