"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6292","ParallelTest3","","Fri Aug 29 00:26:42 UTC 2025","passed","Fri Aug 29 00:26:48 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","6661","ParallelTest2","","Fri Aug 29 00:26:41 UTC 2025","passed","Fri Aug 29 00:26:48 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","7360","ParallelTest","","Fri Aug 29 00:26:34 UTC 2025","passed","Fri Aug 29 00:26:41 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","8076","InvalidLoginShouldDisplayError","","Fri Aug 29 00:26:34 UTC 2025","failed","Fri Aug 29 00:26:42 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify downloaded PDF from file-examples.com contains expected text
","5109","VerifyDownloadedPdfFromFileExamples","","Fri Aug 29 00:26:34 UTC 2025","passed","Fri Aug 29 00:26:39 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","6399","ParallelTest1","","Fri Aug 29 00:26:39 UTC 2025","passed","Fri Aug 29 00:26:46 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4903","ValidLoginShouldSucceed","","Fri Aug 29 00:26:46 UTC 2025","passed","Fri Aug 29 00:26:50 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
