"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user list contains expected record from ReqRes API
","1689","FetchUserListShouldReturnData","","Fri Aug 22 17:07:40 UTC 2025","passed","Fri Aug 22 17:07:42 UTC 2025","","","CreateUserApiTest","FetchUserListShouldReturnData"
"","2921","ParallelTest","","Fri Aug 22 17:08:32 UTC 2025","passed","Fri Aug 22 17:08:35 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3703","ValidLoginShouldSucceed","","Fri Aug 22 17:08:43 UTC 2025","passed","Fri Aug 22 17:08:47 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","2775","ParallelTest2","","Fri Aug 22 17:08:37 UTC 2025","passed","Fri Aug 22 17:08:40 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2905","ParallelTest3","","Fri Aug 22 17:08:40 UTC 2025","passed","Fri Aug 22 17:08:43 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Verify downloaded PDF from file-examples.com contains expected text
","46412","VerifyDownloadedPdfFromFileExamples","","Fri Aug 22 17:07:42 UTC 2025","broken","Fri Aug 22 17:08:28 UTC 2025","","Sanity","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","3599","InvalidLoginShouldDisplayError","","Fri Aug 22 17:08:28 UTC 2025","failed","Fri Aug 22 17:08:32 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify user creation using ReqRes API
","2485","CreateUserViaApiShouldReturnSuccess","","Fri Aug 22 17:07:38 UTC 2025","passed","Fri Aug 22 17:07:40 UTC 2025","","Sanity","CreateUserApiTest","CreateUserViaApiShouldReturnSuccess"
"","2564","ParallelTest1","","Fri Aug 22 17:08:35 UTC 2025","passed","Fri Aug 22 17:08:37 UTC 2025","","Smoke","LoginTest","ParallelTest1"
