"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2715","ParallelTest","","Wed Aug 27 18:02:40 UTC 2025","passed","Wed Aug 27 18:02:43 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","2661","ParallelTest2","","Wed Aug 27 18:02:45 UTC 2025","passed","Wed Aug 27 18:02:48 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2659","ParallelTest3","","Wed Aug 27 18:02:48 UTC 2025","passed","Wed Aug 27 18:02:50 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","3852","InvalidLoginShouldDisplayError","","Wed Aug 27 18:02:36 UTC 2025","failed","Wed Aug 27 18:02:40 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2494","ParallelTest1","","Wed Aug 27 18:02:43 UTC 2025","passed","Wed Aug 27 18:02:45 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","2054","ValidLoginShouldSucceed","","Wed Aug 27 18:02:50 UTC 2025","passed","Wed Aug 27 18:02:52 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
