"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2921","ParallelTest1","","Tue Aug 26 14:45:13 UTC 2025","passed","Tue Aug 26 14:45:16 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Verify user creation using ReqRes API
","2064","CreateUserViaApiShouldReturnSuccess","","Tue Aug 26 14:45:01 UTC 2025","passed","Tue Aug 26 14:45:03 UTC 2025","","Sanity","CreateUserApiTest","CreateUserViaApiShouldReturnSuccess"
"Verify downloaded PDF from file-examples.com contains expected text
","2106","VerifyDownloadedPdfFromFileExamples","","Tue Aug 26 14:45:04 UTC 2025","passed","Tue Aug 26 14:45:06 UTC 2025","","Sanity","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3805","ValidLoginShouldSucceed","","Tue Aug 26 14:45:22 UTC 2025","passed","Tue Aug 26 14:45:26 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3664","InvalidLoginShouldDisplayError","","Tue Aug 26 14:45:06 UTC 2025","failed","Tue Aug 26 14:45:10 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify user list contains expected record from ReqRes API
","943","FetchUserListShouldReturnData","","Tue Aug 26 14:45:03 UTC 2025","passed","Tue Aug 26 14:45:04 UTC 2025","","","CreateUserApiTest","FetchUserListShouldReturnData"
"","2933","ParallelTest2","","Tue Aug 26 14:45:16 UTC 2025","passed","Tue Aug 26 14:45:19 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","3165","ParallelTest","","Tue Aug 26 14:45:10 UTC 2025","passed","Tue Aug 26 14:45:13 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","3155","ParallelTest3","","Tue Aug 26 14:45:19 UTC 2025","passed","Tue Aug 26 14:45:22 UTC 2025","","Smoke","LoginTest","ParallelTest3"
