"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2753","ParallelTest1","","Tue Aug 26 20:11:08 UTC 2025","passed","Tue Aug 26 20:11:11 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2575","ParallelTest2","","Tue Aug 26 20:11:11 UTC 2025","passed","Tue Aug 26 20:11:14 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","5121","InvalidLoginShouldDisplayError","","Tue Aug 26 20:11:00 UTC 2025","failed","Tue Aug 26 20:11:05 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2425","ParallelTest3","","Tue Aug 26 20:11:14 UTC 2025","passed","Tue Aug 26 20:11:16 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","3055","ParallelTest","","Tue Aug 26 20:11:05 UTC 2025","passed","Tue Aug 26 20:11:08 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3106","ValidLoginShouldSucceed","","Tue Aug 26 20:11:16 UTC 2025","passed","Tue Aug 26 20:11:19 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
