"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8131","ParallelTest2","","Fri Aug 29 00:00:34 UTC 2025","passed","Fri Aug 29 00:00:42 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","8245","ParallelTest","","Fri Aug 29 00:00:27 UTC 2025","passed","Fri Aug 29 00:00:35 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","7490","InvalidLoginShouldDisplayError","","Fri Aug 29 00:00:27 UTC 2025","failed","Fri Aug 29 00:00:34 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"Verify downloaded PDF from file-examples.com contains expected text
","48143","VerifyDownloadedPdfFromFileExamples","","Fri Aug 29 00:00:40 UTC 2025","broken","Fri Aug 29 00:01:29 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","7883","ValidLoginShouldSucceed","","Fri Aug 29 00:00:35 UTC 2025","passed","Fri Aug 29 00:00:43 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","6167","ParallelTest3","","Fri Aug 29 00:00:34 UTC 2025","passed","Fri Aug 29 00:00:40 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","6988","ParallelTest1","","Fri Aug 29 00:00:27 UTC 2025","passed","Fri Aug 29 00:00:34 UTC 2025","","Smoke","LoginTest","ParallelTest1"
