"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","ParallelTest3","","Wed Aug 27 15:04:52 UTC 2025","broken","Wed Aug 27 15:04:52 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","80","ParallelTest2","","Wed Aug 27 15:04:52 UTC 2025","broken","Wed Aug 27 15:04:52 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","4978","InvalidLoginShouldDisplayError","","Wed Aug 27 15:04:52 UTC 2025","failed","Wed Aug 27 15:04:57 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","524","ParallelTest1","","Wed Aug 27 15:04:52 UTC 2025","broken","Wed Aug 27 15:04:52 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","556","ParallelTest","","Wed Aug 27 15:04:52 UTC 2025","broken","Wed Aug 27 15:04:52 UTC 2025","","Smoke","LoginTest","ParallelTest"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","40","ValidLoginShouldSucceed","","Wed Aug 27 15:04:52 UTC 2025","broken","Wed Aug 27 15:04:53 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
