"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5424","ParallelTest2","","Thu Aug 28 13:00:21 UTC 2025","passed","Thu Aug 28 13:00:26 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","25149","InvalidLoginShouldDisplayError","","Thu Aug 28 12:59:56 UTC 2025","failed","Thu Aug 28 13:00:21 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","4611","ParallelTest3","","Thu Aug 28 13:00:26 UTC 2025","passed","Thu Aug 28 13:00:31 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Verify downloaded PDF from file-examples.com contains expected text
","48847","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 12:59:56 UTC 2025","broken","Thu Aug 28 13:00:45 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","5120","ValidLoginShouldSucceed","","Thu Aug 28 13:00:26 UTC 2025","passed","Thu Aug 28 13:00:31 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","23782","ParallelTest","","Thu Aug 28 12:59:56 UTC 2025","passed","Thu Aug 28 13:00:19 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","6573","ParallelTest1","","Thu Aug 28 13:00:19 UTC 2025","passed","Thu Aug 28 13:00:26 UTC 2025","","Smoke","LoginTest","ParallelTest1"
