"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","ParallelTest3","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"","163","ParallelTest","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","178","ParallelTest1","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","11","ValidLoginShouldSucceed","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","176","InvalidLoginShouldDisplayError","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","10","ParallelTest2","","Wed Aug 27 20:16:40 UTC 2025","broken","Wed Aug 27 20:16:40 UTC 2025","","Smoke","LoginTest","ParallelTest2"
