"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2495","ParallelTest1","","Wed Aug 27 17:52:32 UTC 2025","passed","Wed Aug 27 17:52:34 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","2287","ParallelTest2","","Wed Aug 27 17:52:34 UTC 2025","passed","Wed Aug 27 17:52:36 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","2202","ParallelTest3","","Wed Aug 27 17:52:36 UTC 2025","passed","Wed Aug 27 17:52:39 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","3203","ValidLoginShouldSucceed","","Wed Aug 27 17:52:39 UTC 2025","passed","Wed Aug 27 17:52:42 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","3779","InvalidLoginShouldDisplayError","","Wed Aug 27 17:52:25 UTC 2025","failed","Wed Aug 27 17:52:29 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
"","2798","ParallelTest","","Wed Aug 27 17:52:29 UTC 2025","passed","Wed Aug 27 17:52:32 UTC 2025","","Smoke","LoginTest","ParallelTest"
